0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:18 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:19 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:20 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:20 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:20 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:20 +0530] "GET /Training/right.html HTTP/1.1" 404 732
